Merge,Parent1,Parent2,Date
c398a7516ee67b97748ae0fb268bde00bb846b7c,98516e9,0bd3746,Wed Apr 16 00:00:00 GMT-03:00 2014
203ee636b09487658b4df4537d323fd2ebb56c11,255dcd0,c398a75,Wed Apr 16 00:00:00 GMT-03:00 2014
b854d7358f7392f6cec43183d3c9549cf07786ac,203ee63,0fce79f,Thu Apr 17 00:00:00 GMT-03:00 2014
ef96d81be65942acd9b67d741d1bd68e00a2bcb9,b854d73,20ff97f,Thu Apr 17 00:00:00 GMT-03:00 2014
ec45938b057a13c4fea926f22ca9b9a6d2ff27e9,d78576d,ef96d81,Thu Apr 17 00:00:00 GMT-03:00 2014
b2d3ac96197f189c3186d1ea1c584c25d0a6463a,d357d2f,4d8faf0,Fri Apr 25 00:00:00 GMT-03:00 2014
e876c73bfb7a9b8db456d4b50299b74314f44622,b2d3ac9,11e26b8,Fri Apr 25 00:00:00 GMT-03:00 2014
a618ea9ad1d5b09ce7241a7e1864f1accfb9827f,e876c73,7507c85,Sun Apr 27 00:00:00 GMT-03:00 2014
70dc0e3429f9912cee4075f0e25f48d282f47e58,b5e0bf9,a618ea9,Mon Apr 28 00:00:00 GMT-03:00 2014
59cfee466684e1e6dcc51ca41b0c8d531254fb8c,7eb88ca,7b8df2b,Fri May 02 00:00:00 GMT-03:00 2014
3fac014e7bf705cd98fca7fd24926d338399452c,a4dafe7,59cfee4,Tue May 06 00:00:00 GMT-03:00 2014
ae0c57b6099232ef97f7bd6b4ba123ea83e6f6de,3fac014,2b3ca0f,Mon May 12 00:00:00 GMT-03:00 2014
944b9bd87b771cef70823efc27b6ece05ddb6b6a,ae0c57b,73a758f,Tue May 13 00:00:00 GMT-03:00 2014
23c1f7d9568591d2134dbabe07772fcc2df86809,944b9bd,c4482be,Tue May 13 00:00:00 GMT-03:00 2014
2afbc77225b96b375a573d34c351b89121eb215d,23c1f7d,3ed0eca,Fri May 30 00:00:00 GMT-03:00 2014
ae3d420d642913111ae26ff4b07ed0f1a94ef990,2afbc77,40aa5cd,Fri May 30 00:00:00 GMT-03:00 2014
8297ca0c68bb160ad71300a5fbda1316781c6431,807179e,ae3d420,Mon Jun 02 00:00:00 GMT-03:00 2014
09b36216fdc0d1c364305c579244bdfc3b63a27b,ae3d420,8297ca0,Mon Jun 02 00:00:00 GMT-03:00 2014
79f22b2db0f1177cb8283972f5154c8a6b72d9ad,09b3621,7dc6cf4,Fri Jun 06 00:00:00 GMT-03:00 2014
f3765e45872afbe056a737350cf4d8b541639dd7,79f22b2,2621af2,Sat Jun 07 00:00:00 GMT-03:00 2014
